업종명,업소명,소재지(도로명),소재지전화
일반음식점,옥돌현옥,서울특별시 송파구 오금로36길 26-1 (가락동),
일반음식점,유한회사 성전일식,"서울특별시 송파구 양재대로 932, 판매동 3층 19-1호 (가락동, 농수산물시장내)",02-407-2981
일반음식점,영동족발 방이점,"서울특별시 송파구 오금로13길 3-20, 지상1층 (방이동)",02-417-0355
일반음식점,무교낙지,서울특별시 송파구 오금로11길 32 (방이동),02-412-5629
일반음식점,백화원,서울특별시 송파구 석촌호수로 134 (삼전동),02-422-3888
일반음식점,해원,"서울특별시 송파구 올림픽로 203 (잠실동,중앙상가 지하4호)",02-422-2454
일반음식점,(유)박가네,"서울특별시 송파구 양재대로 932 (가락동,농수산물소매시장 동측중식당)",02-418-5643
일반음식점,(주)대성식당,"서울특별시 송파구 양재대로 932 (가락동, 농수산물소매시장 서편식당)",02-407-9603
일반음식점,치킨뱅이,"서울특별시 송파구 오금로11길 23, 지상1층 (방이동)",02-417-7100
일반음식점,부자치맥,"서울특별시 송파구 오금로 175, 지상1층 (방이동)",02-414-1514
일반음식점,이디야,"서울특별시 송파구 송파대로 567 (잠실동,B-4)",02-414-2704
일반음식점,뉴욕야시장 송파구청점,"서울특별시 송파구 올림픽로32길 27, 2층 (방이동)",02-422-5959
일반음식점,함스함스,"서울특별시 송파구 백제고분로41길 12 (송파동,104호)",02-402-3327
일반음식점,더컨벤션 교통회관,서울특별시 송파구 올림픽로 319 (신천동),02-414-3611
일반음식점,일식호림,"서울특별시 송파구 석촌호수로 176, 2층 (삼전동)",02-415-3413
일반음식점,버디,서울특별시 송파구 오금로11길 16 (방이동),02-416-3849
일반음식점,실크로드,"서울특별시 송파구 백제고분로46길 41, 지상1층 (송파동)",02-466-2646
일반음식점,야래향,"서울특별시 송파구 신천로 25, 지하1층 (신천동, 장미 A상가 1,2-2,2-3,15-2,16호)",02-420-2041
일반음식점,홍콩,서울특별시 송파구 가락로42길 11 (방이동),
일반음식점,가락휴게실,"서울특별시 송파구 양재대로 932 (가락동,청과시장 1층 2호)",02-417-3260
일반음식점,삼정식당,"서울특별시 송파구 양재대로 932 (가락동,수산관련상품시장내)",02-407-9367
일반음식점,(주)내장,"서울특별시 송파구 양재대로 932 (가락동,농수산물도매시장 B동)",02-407-8856
일반음식점,수산식당,"서울특별시 송파구 양재대로 932 (가락동,수산시장3호)",02-415-0012
일반음식점,(유)동화매점,"서울특별시 송파구 양재대로 932 (가락동,동화청과시장)",02-406-7856
일반음식점,삼호식당,"서울특별시 송파구 양재대로 932 (가락동,청과 1층 3호)",02-415-5936
일반음식점,수산2호식당,"서울특별시 송파구 양재대로 932 (가락동,수산시장 2호)",02-415-3306
일반음식점,한국식당,"서울특별시 송파구 양재대로 932 (가락동,한국청과내 5호)",02-400-1262
일반음식점,일호식당,"서울특별시 송파구 양재대로 932 (가락동, 수산시장1호)",02-415-3062
일반음식점,어주수산,서울특별시 송파구 중대로12길 7 (가락동),02-408-1658
일반음식점,명불허전 원조 골뱅이,"서울특별시 송파구 올림픽로32길 23, 지상1층 (방이동)",02-416-3063
일반음식점,옛날통닭,서울특별시 송파구 백제고분로28길 6 (삼전동),02-414-3999
일반음식점,우돈가네맛구이,서울특별시 송파구 마천로 337 (마천동),02-406-1798
일반음식점,고인돌,"서울특별시 송파구 가락로18길 4-1, 1층 101호 (송파동)",02-414-3339
일반음식점,노랑통닭 잠실새내점,"서울특별시 송파구 백제고분로7길 20, 지상1층 (잠실동)",02-414-0604
일반음식점,도도야,"서울특별시 송파구 오금로64길 11, 지상1층 (거여동)",02-0832-3910
일반음식점,오동나무집,서울특별시 송파구 송파대로37길 4-29 (석촌동),02-0416-3491
일반음식점,무지개 맥주 방이점,"서울특별시 송파구 오금로11길 21, 지상1층 (방이동)",02-492-6671
일반음식점,유한회사 유정씨푸드,"서울특별시 송파구 양재대로 932, 판매동 3층 5호-1호 (가락동, 가락동농수산물도매시장내)",02-403-2221
일반음식점,바다회집,"서울특별시 송파구 양재대로 932, 판매동 3층 17-1호 (가락동, 가락몰)",02-403-2741
일반음식점,깐부치킨,서울특별시 송파구 백제고분로7길 19 (잠실동),02-418-8181
일반음식점,유한회사 만포장,"서울특별시 송파구 양재대로 932, 3층 2호-1호 (가락동, 농수산물도매시장내 가락몰)",02-413-4476
일반음식점,명동식당,서울특별시 송파구 백제고분로46길 41 (송파동),02-420-1680
일반음식점,마포숯불갈비,"서울특별시 송파구 토성로 58, 1층 (풍납동)",02-903-0143
일반음식점,강남찌개집,"서울특별시 송파구 올림픽로32길 23, 지상1층 (방이동)",02-417-0014
일반음식점,성산포,서울특별시 송파구 석촌호수로18길 8 (석촌동),02-418-6850
일반음식점,본가설렁탕,"서울특별시 송파구 석촌호수로 204, 지상1,2층 (석촌동)",02-416-2777
일반음식점,(주)삼광호수,서울특별시 송파구 송파대로49길 58 (석촌동),02-414-2512
일반음식점,장원보쌈,"서울특별시 송파구 마천로45길 15 (마천동,2층)",02-408-7147
일반음식점,허심탄회,"서울특별시 송파구 가락로16길 3-6 (석촌동,지상1층)",02-415-9009
일반음식점,큰손흑돼지,"서울특별시 송파구 백제고분로45길 10, 1층 (송파동)",02-420-5524
일반음식점,남한강다슬기해장국,"서울특별시 송파구 오금로 144, 지상1층 (송파동)",02-417-2786
일반음식점,천하일미 강정.치킨,"서울특별시 송파구 거마로 6, 지상1층 (거여동)",02-400-1888
일반음식점,잠실본동점 굽네치킨,서울특별시 송파구 올림픽로10길 58 (잠실동),02-414-8296
일반음식점,전주설렁탕,서울특별시 송파구 백제고분로7길 33 (잠실동),02-417-6529
일반음식점,(유)우주식당,"서울특별시 송파구 양재대로 932 (가락동,(축협2층))",02-409-1328
일반음식점,(주)오금버드나무집,서울특별시 송파구 동남로 309 (오금동),02-408-8000
일반음식점,이차돌 방이점,서울특별시 송파구 오금로11길 26 (방이동),02-402-1539
일반음식점,석화식당,서울특별시 송파구 석촌호수로18길 8-4 (석촌동),02-0412-3657
일반음식점,한우한마리,서울특별시 송파구 오금로11길 14 (방이동),02-413-8776
일반음식점,흥부골 숯불돼지 왕갈비,서울특별시 송파구 백제고분로33길 35 (석촌동),02-418-0003
일반음식점,석정,"서울특별시 송파구 법원로 114, 엠스테이트 E동 B106,B107호 (문정동)",
일반음식점,윤정,서울특별시 송파구 백제고분로7길 15 (잠실동),02-402-3676
일반음식점,곱이랑 창이랑,서울특별시 송파구 백제고분로48길 7 (방이동),02-416-7361
일반음식점,25시 호프 치킨,"서울특별시 송파구 거마로20길 18, 1층 (마천동)",02-402-8644
일반음식점,처갓집양념치킨 송파점,"서울특별시 송파구 백제고분로 426, 지상1층 (송파동)",02-419-4734
일반음식점,커피집(Coffee Zip),"서울특별시 송파구 송파대로30길 39, 지상1층 (가락동, 3,6,7)",02-402-4886
일반음식점,처갓집 양념치킨(신천점),서울특별시 송파구 백제고분로9길 53 (잠실동),02-417-5482
일반음식점,페리카나치킨,"서울특별시 송파구 올림픽로4길 17 (잠실동,(상가1층175호))",02-418-2320
일반음식점,윤지,서울특별시 송파구 백제고분로34길 9 (석촌동),02-0419-0906
일반음식점,오백냥분식,서울특별시 송파구 가락로 112 (석촌동),02-0414-2261
일반음식점,신영 식당,"서울특별시 송파구 백제고분로20길 13-8 (잠실동,지상1층)",02-423-9376
일반음식점,라세느,"서울특별시 송파구 올림픽로 240, 2층 (잠실동)",02-421-3980
일반음식점,어부횟집,"서울특별시 송파구 오금로15길 7, 지상1층 (방이동)",02-420-9704
일반음식점,차이나윤,"서울특별시 송파구 동남로18길 32, 2층 (가락동)",02-403-8839
일반음식점,육회 지존,"서울특별시 송파구 백제고분로7길 32, 지하1층 (잠실동)",02-415-3320
일반음식점,라운지 앤 브라세리,"서울특별시 송파구 올림픽로 240, 1층 (잠실동, 롯데호텔)",02-421-3980
일반음식점,만리향,"서울특별시 송파구 올림픽로 240 (잠실동,쇼핑몰 지하1층)",02-400-1269
일반음식점,도림,"서울특별시 송파구 올림픽로 240, 31층 (잠실동)",02-421-3980
일반음식점,교촌치킨 잠실1호점,서울특별시 송파구 백제고분로7길 9 (잠실동),02-416-0146
일반음식점,풍년식당,서울특별시 송파구 가락로 94 (석촌동),02-415-0631
일반음식점,농부밥상 어부밥상,"서울특별시 송파구 강동대로9길 16, 지상1층 (풍납동)",02-414-6666
일반음식점,윤이네촌국수,"서울특별시 송파구 새말로 144, 지상1층 (문정동)",02-408-3289
일반음식점,호남식당,서울특별시 송파구 양재대로 932 (가락동),02-409-8283
일반음식점,별미곱창 2호점,서울특별시 송파구 오금로11길 14 (방이동),02-403-2690
일반음식점,깐부치킨 (방이맛골점),"서울특별시 송파구 오금로11길 24, 1층 (방이동)",02-412-8748
일반음식점,달그닭,"서울특별시 송파구 오금로11길 54, 지상1층 (방이동)",02-418-8964
일반음식점,우리 이모,"서울특별시 송파구 올림픽로32길 29, 유성빌딩 (방이동)",02-421-6262
일반음식점,군산복아구전문점,서울특별시 송파구 송파대로49길 33 (석촌동),02-419-7287
일반음식점,이모네밥상,"서울특별시 송파구 백제고분로40길 35-7, 1층 (석촌동)",02-416-2310
일반음식점,잔치집,"서울특별시 송파구 송파대로37길 4-17, 지상1층 (석촌동)",02-2203-3619
일반음식점,다미,서울특별시 송파구 백제고분로12길 4 (잠실동),02-443-9141
일반음식점,누엣골 주막,"서울특별시 송파구 올림픽로 240 (잠실동, 롯데월드)",02-411-2000
일반음식점,석촌(박서방순대국밥),서울특별시 송파구 올림픽로 240 (잠실동),
일반음식점,향기네 식당,"서울특별시 송파구 마천로21길 4, 지상1층 (오금동)",02-0414-7136
일반음식점,송파생태전문점,"서울특별시 송파구 오금로15길 14, 지상1층 (방이동)",02-2203-6668
일반음식점,피자마루 거여점,"서울특별시 송파구 오금로 527, 지상1층 (거여동)",02-448-5960
일반음식점,치킨타운,서울특별시 송파구 마천로 137 (오금동),02-406-1127
일반음식점,해림스넥,"서울특별시 송파구 양재대로 1222, 2층동 28호호 (방이동,중심상가)",02-419-9605
일반음식점,성전,"서울특별시 송파구 양재대로 1222, 2층동 19호 (방이동,중심상가)",02-402-1050
일반음식점,북경,"서울특별시 송파구 양재대로 1222 (방이동,올림픽선수,기자촌아파트 중심상가2층26호)",02-443-9600
일반음식점,스위트홈,서울특별시 송파구 올림픽로 240 (잠실동),02-420-8495
일반음식점,찬,서울특별시 송파구 백제고분로44길 3 (송파동),02-417-6459
일반음식점,청기와,"서울특별시 송파구 양재대로 1222 (방이동,(2층 33호))",02-405-3650
일반음식점,호랭상회,"서울특별시 송파구 오금로 247 (방이동,지상 101호)",02-2202-7129
일반음식점,돌마리,"서울특별시 송파구 올림픽로32길 22-10, 지상1층 (방이동)",02-413-8489
일반음식점,페리카나,서울특별시 송파구 마천로61길 9 (마천동),02-409-0186
일반음식점,미락 수산,"서울특별시 송파구 위례성대로20길 22, 정남빌딩 2층 (오금동)",02-404-3325
일반음식점,가락관광호텔레스토랑,서울특별시 송파구 송파대로28길 5 (가락동),02-400-6641
일반음식점,파랑새식당,"서울특별시 송파구 올림픽로35길 94 (신천동,장미C상가 지하1층)",02-414-5577
일반음식점,가나자와,"서울특별시 송파구 오금로13길 3-20, 지상2층 (방이동)",02-419-8889
일반음식점,동보성,서울특별시 송파구 양재대로 1222 (방이동),02-448-8700
일반음식점,청진동해장국 문정역점,서울특별시 송파구 문정로 19 (문정동),02-404-8939
일반음식점,유명식당,"서울특별시 송파구 양재대로 932, 판매동 3층 08-1호 (가락동, 편의시설)",02-403-7378
일반음식점,장원식당,"서울특별시 송파구 양재대로 932, 3층 1-1호 (가락동, 가락시장 판매동)",02-409-1322
일반음식점,오금골,서울특별시 송파구 마천로15길 3 (오금동),02-404-1661
일반음식점,유한회사 정동,"서울특별시 송파구 양재대로 932, 판매동 3층 09호-1호 (가락동, 농수산물도매시장 내)",02-406-8865
일반음식점,할아버지분식,서울특별시 송파구 가락로 115 (석촌동),02-0419-3430
일반음식점,춘천닭갈비,"서울특별시 송파구 백제고분로39길 27, 지상1층 103호 (석촌동)",02-0412-6644
일반음식점,싼횟집,서울특별시 송파구 송파대로 458 (송파동),02-423-8139
일반음식점,송파해물탕,서울특별시 송파구 송파대로14길 6 (문정동),02-448-6003
일반음식점,가락골마산아구찜,서울특별시 송파구 송이로19길 3 (가락동),02-409-6665
일반음식점,공원원조집,"서울특별시 송파구 송파대로32길 6-11, 2층 (가락동)",02-407-1224
일반음식점,김태완 스시,"서울특별시 송파구 오금로 148 (송파동,지상1층)",02-413-6945
일반음식점,전주식당,서울특별시 송파구 백제고분로 421 (송파동),02-418-7576
일반음식점,착한 명태,"서울특별시 송파구 오금로 239, 지상1층 (방이동)",02-420-2734
일반음식점,명동칼국수,서울특별시 송파구 오금로 25-27 (방이동),02-415-8820
일반음식점,닥터 플라토,"서울특별시 송파구 양재대로71길 9, 지상1층 (방이동)",02-423-1119
일반음식점,초시꽁보리밥,"서울특별시 송파구 양재대로 1222 (방이동,올림픽 선수촌 중심상가 2층51호)",02-404-1827
일반음식점,다랑,서울특별시 송파구 양재대로 1222 (방이동),02-414-2459
일반음식점,갯마을식당,"서울특별시 송파구 백제고분로9길 6 (잠실동,,9)",02-412-5253
일반음식점,송파대박집,"서울특별시 송파구 송이로17길 54-27, 지상1층 (가락동)",02-406-3329
일반음식점,삼태기식당,서울특별시 송파구 양재대로62길 36 (가락동),02-406-1419
일반음식점,자성화 맛집 코다리네 오금점,"서울특별시 송파구 성내천로 88, 지상1층 (오금동)",02-406-7878
일반음식점,(주)에이지에스푸드,"서울특별시 송파구 양재대로 932 (가락동,(농수산물직판장내))",02-3012-7100
일반음식점,소백산,서울특별시 송파구 백제고분로39길 28 (석촌동),02-422-9929
일반음식점,모퉁이 직화구이,"서울특별시 송파구 석촌호수로12길 40, 지상1층 (잠실동)",02-551-0820
일반음식점,구내분식,"서울특별시 송파구 양재대로 932 (가락동,청과물관련시장 1층)",02-406-7655
일반음식점,처음처럼,서울특별시 송파구 동남로8길 30-25 (문정동),02-404-8046
일반음식점,연가,"서울특별시 송파구 송파대로32길 6-11, 지상1층 (가락동)",02-3431-6576
일반음식점,페리카나 풍납동점,"서울특별시 송파구 풍성로 24, 지상1층 (풍납동)",02-474-7649
일반음식점,배꼽시계,"서울특별시 송파구 거마로3길 18, 지상1층 (거여동)",02-448-3881
일반음식점,꿀꾸랄라,"서울특별시 송파구 바람드리길 22, 지상1층 (풍납동)",02-471-3671
일반음식점,멕시칸치킨,서울특별시 송파구 마천로15길 2 (오금동),02-410-3360
일반음식점,또래오래치킨,서울특별시 송파구 위례성대로20길 8 (오금동),02-400-1002
일반음식점,미스터피자(문정점),"서울특별시 송파구 동남로 117 (가락동,지상2층)",02-430-3993
일반음식점,뚜껍식당,"서울특별시 송파구 올림픽로32길 18-22, 지상1층 (방이동)",02-420-4700
일반음식점,도화호프,서울특별시 송파구 오금로11길 14 (방이동),02-419-9260
일반음식점,다조아분식,서울특별시 송파구 삼전로 92 (삼전동),02-412-1097
일반음식점,멕시칸치킨,서울특별시 송파구 성내천로 296 (마천동),02-252-9581
일반음식점,푸주옥,"서울특별시 송파구 송파대로28길 6 (가락동,1층2호,3호)",02-400-0803
일반음식점,도미노피자오금점,"서울특별시 송파구 중대로 314-1 (오금동,1층)",02-449-3030
일반음식점,돈까스 집,서울특별시 송파구 백제고분로19길 25 (잠실동),02-415-5717
일반음식점,페리카나치킨,서울특별시 송파구 백제고분로7길 39 (잠실동),02-417-3599
일반음식점,유천냉면,"서울특별시 송파구 강동대로3길 22, 1층 (풍납동)",02-419-4000
일반음식점,한성양꼬치,"서울특별시 송파구 올림픽로35길 94, 113,114호 (신천동, 장미C상가)",02-410-3360
일반음식점,경성주막&와인싸롱뱅뱅,"서울특별시 송파구 올림픽로32길 15, 지상1층 (방이동)",02-420-9959
일반음식점,만리장,"서울특별시 송파구 올림픽로 35-11 (신천동, 판매시설105)",02-417-1115
일반음식점,국민식당,서울특별시 송파구 가락로42길 8 (방이동),02-415-8977
일반음식점,김리식당,서울특별시 송파구 거마로3길 4 (거여동),02-410-3360
일반음식점,쿡빌리지,"서울특별시 송파구 동남로4길 21-1, 2층 (문정동)",02-401-5615
일반음식점,술노리아,"서울특별시 송파구 문정로1길 31 (문정동,1층)",02-430-4307
일반음식점,신서방 부대찌개,서울특별시 송파구 오금로46길 16 (가락동),02-449-3670
일반음식점,홍대칼국수와 족발,"서울특별시 송파구 오금로15길 16, 지상1층 (방이동)",02-487-2455
일반음식점,돌마리 영양탕,서울특별시 송파구 백제고분로40길 35-7 (석촌동),02-412-5812
일반음식점,오쓰세이로무시,서울특별시 송파구 백제고분로45길 30 (송파동),02-419-2222
일반음식점,잠실고박사,서울특별시 송파구 백제고분로7길 8 (잠실동),02-413-1711
일반음식점,봉평메밀나라,"서울특별시 송파구 마천로 206, 1층 (오금동)",02-430-0095
일반음식점,심양양꼬치,서울특별시 송파구 백제고분로9길 48 (잠실동),02-417-1976
일반음식점,삼원식당,서울특별시 송파구 백제고분로33길 31-15 (석촌동),02-419-6344
일반음식점,해도듦제주포크,서울특별시 송파구 가락로16길 2-13 (석촌동),02-417-2020
일반음식점,투다리,서울특별시 송파구 백제고분로33길 26 (석촌동),02-419-2468
일반음식점,보금자리 돈가네,"서울특별시 송파구 동남로29길 11, 지상1층 (오금동)",02-453-0308
일반음식점,지리산흙돼지,서울특별시 송파구 송이로23길 6 (가락동),02-449-6642
일반음식점,피자헛 가락문정점,"서울특별시 송파구 새말로 141, 1층 (문정동)",02-449-0709
일반음식점,치킨방,서울특별시 송파구 위례성대로18길 29 (방이동),
일반음식점,맥킨치킨,서울특별시 송파구 중대로 220 (가락동),02-409-2026
일반음식점,명월식당,서울특별시 송파구 동남로 30-45 (문정동),02-409-0585
일반음식점,회나라,"서울특별시 송파구 오금로11길 21 (방이동,,10)",02-401-9706
일반음식점,장원 칼국수,"서울특별시 송파구 중대로16길 5, 지상1층 (가락동)",02-449-6737
일반음식점,정원 매운찜,서울특별시 송파구 오금로44나길 17 (가락동),02-403-3374
일반음식점,명가식당,"서울특별시 송파구 백제고분로27길 18, 지상1층 (삼전동)",02-412-9073
일반음식점,참맛,서울특별시 송파구 삼학사로13길 37 (삼전동),02-414-7078
일반음식점,페리카나,"서울특별시 송파구 올림픽로 35-112 (신천동, 장미아파트 비상가 2층동202호)",02-415-6522
일반음식점,비비큐,서울특별시 송파구 중대로9길 43-4 (가락동),02-711-3649
일반음식점,처갓집양념치킨 삼전점,서울특별시 송파구 백제고분로32길 28 (삼전동),02-417-3612
일반음식점,잠실영양센타,서울특별시 송파구 백제고분로7길 14 (잠실동),02-424-3996
일반음식점,201,"서울특별시 송파구 백제고분로19길 4-19, 지상1층 (잠실동)",02-412-2509
일반음식점,유니스,서울특별시 송파구 동남로 2-3 (문정동),02-430-1272
일반음식점,명가 곱창&닭갈비,서울특별시 송파구 마천로45길 43 (마천동),
일반음식점,"스시, 어도락",서울특별시 송파구 오금로44길 5 (가락동),02-449-0995
일반음식점,미다이,"서울특별시 송파구 송파대로28길 12 (가락동,(지하6,7호))",02-406-7274
일반음식점,갯벌의 진주,"서울특별시 송파구 송파대로30길 41, 지상1층 (가락동)",02-443-3618
일반음식점,병천가마솥 순대국,"서울특별시 송파구 올림픽로 35-11 (신천동, 판매시설145)",02-417-9870
일반음식점,홀인원,서울특별시 송파구 백제고분로7길 8-8 (잠실동),
일반음식점,버들골 이야기,"서울특별시 송파구 올림픽로32길 29, 유성빌딩 지상1층 (방이동)",02-423-3109
일반음식점,올리 7080 라이브,"서울특별시 송파구 오금로11길 14, 지하1층 (방이동)",02-418-1919
일반음식점,도미노피자잠실점,"서울특별시 송파구 백제고분로 490, 거보산업(주) 1층 (방이동)",02-2203-0029
일반음식점,바래,"서울특별시 송파구 백제고분로7길 32, 2층 (잠실동)",
일반음식점,월계수,서울특별시 송파구 삼전로 67 (잠실동),02-421-2761
일반음식점,쉬리,서울특별시 송파구 송파대로32길 6-7 (가락동),02-400-8655
일반음식점,명동국수,서울특별시 송파구 송파대로28길 6 (가락동),02-409-7448
일반음식점,금문도,"서울특별시 송파구 가락로 74, 지상1층 7,8호 (석촌동)",02-425-1230
일반음식점,용문각,서울특별시 송파구 성내천로22길 16 (마천동),02-406-9550
일반음식점,대맥,"서울특별시 송파구 올림픽로4길 40, 지상2층 25호 (잠실동, 우성상가)",02-414-6806
일반음식점,아리산,"서울특별시 송파구 송파대로27길 30, 지상1층 (문정동)",02-404-3227
일반음식점,부부횟집,"서울특별시 송파구 오금로18길 4, 지상1층 (송파동)",02-472-0071
일반음식점,뼈사랑감자탕(거여점),서울특별시 송파구 성내천로 142 (거여동),02-448-9316
일반음식점,둘둘치킨,서울특별시 송파구 문정로 7 (문정동),02-430-1354
일반음식점,으뜸식당,"서울특별시 송파구 동남로2길 5-5 (문정동,(1층))",02-406-5183
일반음식점,멕시카나치킨문정점,서울특별시 송파구 송이로36길 60 (문정동),02-401-0865
일반음식점,유화수오리전문점,서울특별시 송파구 송파대로18길 2 (문정동),02-404-0052
일반음식점,맛닭꼬 오금점,"서울특별시 송파구 위례성대로20길 28, 지상1층 (오금동)",02-430-6691
일반음식점,밀향기칼국수,서울특별시 송파구 위례성대로20길 25 (오금동),02-408-7123
일반음식점,콩마을,서울특별시 송파구 오금로46길 44 (가락동),02-400-3152
일반음식점,제주몬트락,"서울특별시 송파구 오금로46길 5, 지상1층 (가락동)",02-443-5577
일반음식점,마라고메,"서울특별시 송파구 올림픽로32길 13, 2층 (방이동)",02-422-0852
일반음식점,한정식,"서울특별시 송파구 삼학사로11길 13, 지상1층 (삼전동)",02-415-7140
일반음식점,신천 장수소곱창,"서울특별시 송파구 백제고분로17길 49, 101호 (잠실동)",02-413-5375
일반음식점,섬진강민물장어,"서울특별시 송파구 성내천로 154, 지상1층 (마천동)",02-409-5017
일반음식점,명품가,"서울특별시 송파구 양재대로62길 38, 지상1층 (가락동)",02-443-0980
일반음식점,이가 솜씨,"서울특별시 송파구 송이로17길 58-27, 지상1층 (가락동)",02-449-1085
일반음식점,모꼬지에,서울특별시 송파구 송파대로36길 5-13 (송파동),02-424-6150
일반음식점,가나안분식,서울특별시 송파구 송파대로36길 5-13 (송파동),02-413-3943
일반음식점,샛집남원추어탕,서울특별시 송파구 오금로11길 7-12 (방이동),02-421-8163
일반음식점,정육식당,"서울특별시 송파구 양재대로71길 13, 지상1층 (방이동, 203-1,9,10 )",02-416-8181
일반음식점,대호갈비,서울특별시 송파구 백제고분로 83 (잠실동),02-423-2500
일반음식점,꼼장군,서울특별시 송파구 백제고분로17길 49 (잠실동),02-421-0727
일반음식점,꽃이피다,"서울특별시 송파구 백제고분로9길 50, 1층 (잠실동)",02-417-9894
일반음식점,윤가네,서울특별시 송파구 오금로19길 10-1 (방이동),02-414-2615
일반음식점,고향산천,서울특별시 송파구 중대로25길 4 (오금동),02-443-3900
일반음식점,석촌식당,"서울특별시 송파구 가락로 70, 1층 108,109,110호 (석촌동)",02-418-8017
일반음식점,강화민물장어,서울특별시 송파구 백제고분로40길 4 (석촌동),02-422-3990
일반음식점,장수식당,"서울특별시 송파구 삼전로 95 (잠실동,지상1층)",02-410-3362
일반음식점,강남맥주 석촌호수점,서울특별시 송파구 백제고분로33길 29 (석촌동),02-424-3400
일반음식점,명인밥상,"서울특별시 송파구 송이로 157, 지하1층 (가락동)",02-404-7847
일반음식점,아라 참치,"서울특별시 송파구 송파대로30길 7, 지상2층 (가락동)",02-449-6343
일반음식점,코리안 바베큐 마천점,서울특별시 송파구 거마로 72 (마천동),02-400-4004
일반음식점,스위스부페,서울특별시 송파구 송파대로22길 4-11 (문정동),02-400-4010
일반음식점,투다리,서울특별시 송파구 마천로51길 5 (마천동),02-448-3446
일반음식점,휘트니,서울특별시 송파구 오금로36길 12 (가락동),02-406-0877
일반음식점,코끼리분식,서울특별시 송파구 송이로36길 15 (문정동),02-449-4220
일반음식점,바니치킨,서울특별시 송파구 마천로51가길 2 (마천동),02-0400-4219
일반음식점,옛날 마차,서울특별시 송파구 거마로20길 5 (마천동),02-440-2062
일반음식점,장수왕족발,서울특별시 송파구 바람드리길 42 (풍납동),02-471-5417
일반음식점,내담,"서울특별시 송파구 바람드리길 33, 지상1층 (풍납동)",02-479-4073
일반음식점,해오름,"서울특별시 송파구 위례성대로20길 26, 지상1층 (오금동)",
일반음식점,하이꼬꼬,"서울특별시 송파구 백제고분로32길 12, 지상1층 (삼전동)",02-3431-7607
일반음식점,투다리마천2점,서울특별시 송파구 마천로 235 (마천동),02-404-0180
일반음식점,풍성식당,"서울특별시 송파구 마천로 371, 지상1층 (마천동)",02-430-9587
일반음식점,금강 민물장어,"서울특별시 송파구 오금로15길 10, 지상1층 (방이동)",02-483-8445
일반음식점,오늘와인한잔(가락시장역점),"서울특별시 송파구 송이로20길 19, 지상1층 (가락동)",02-448-3443
일반음식점,깜삐넬로,"서울특별시 송파구 한가람로 65, 1층 (잠실동)",02-416-9767
